stationid,toxbatch,matrix,treatment,concentration,concentrationunits,timepoint,parameter,qualifier,result,resultunits,labrep,lab,sampletypecode,dilution,comments,FID
B18-10115,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,Temperature,None,22.4,C,1,NOAA,QA,-88,,4150
B18-10386,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,2,Temperature,None,16.02,C,1,NOAA,Grab,-88,,4151
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,10,Salinity,None,33.7,g/L,0,Space and Naval Warfare Systems Command,CNEG,-88,Yaquina Bay Control,4152
B18-10392,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Unionized Ammonia,None,0.015,mg/L,1,NOAA,Grab,-88,,4153
B18-10388,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,-3,Temperature,None,22,C,1,NOAA,Grab,-88,,4154
B18-10388,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,Unionized Ammonia,None,0.159,mg/L,1,NOAA,Grab,-88,,4155
B18-10115,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,Total Ammonia,None,3.1,mg/L,1,NOAA,QA,-88,,4156
B18-10391,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,2,Dissolved Oxygen,None,8.09,mg/L,1,NOAA,Grab,-88,,4157
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,0,Temperature,None,15.8,C,0,Space and Naval Warfare Systems Command,CNEG,-88,Yaquina Bay Control,4158
B18-10388,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Dissolved Oxygen,None,7.62,mg/L,1,NOAA,Grab,-88,,4159
B18-10388,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,-3,Total Ammonia,None,9.2,mg/L,1,NOAA,Grab,-88,,4160
B18-10396,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,pH,None,7.78,pH,1,NOAA,Grab,-88,,4161
B18-10115,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,Unionized Ammonia,None,0.052,mg/L,1,NOAA,QA,-88,,4162
B18-10391,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,2,pH,None,8.12,pH,1,NOAA,Grab,-88,,4163
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,1,Temperature,None,15.6,C,0,Space and Naval Warfare Systems Command,CNEG,-88,Yaquina Bay Control,4164
B18-10388,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,pH,None,8.04,pH,1,NOAA,Grab,-88,,4165
B18-10388,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,-3,Unionized Ammonia,None,0.122,mg/L,1,NOAA,Grab,-88,,4166
B18-10396,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,Salinity,None,35,PSU,1,NOAA,Grab,-88,,4167
B18-10389,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,pH,None,7.67,pH,1,NOAA,Grab,-88,,4168
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,0,Dissolved Oxygen,None,9.4,mg/L,0,Space and Naval Warfare Systems Command,CNEG,-88,"Yaquina Bay Control, @ or below 110% saturation",4169
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,2,Temperature,None,15.6,C,0,Space and Naval Warfare Systems Command,CNEG,-88,Yaquina Bay Control,4170
B18-10388,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Salinity,None,32.42,PSU,1,NOAA,Grab,-88,,4171
B18-10388,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Temperature,None,15.35,C,1,NOAA,Grab,-88,,4172
B18-10388,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Total Ammonia,None,1,mg/L,1,NOAA,Grab,-88,,4173
B18-10388,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Unionized Ammonia,None,0.025,mg/L,1,NOAA,Grab,-88,,4174
B18-10396,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Dissolved Oxygen,None,7.93,mg/L,1,NOAA,Grab,-88,,4175
B18-10396,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,pH,None,8.12,pH,1,NOAA,Grab,-88,,4176
B18-10396,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Salinity,None,32.31,PSU,1,NOAA,Grab,-88,,4177
B18-10396,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Temperature,None,15.27,C,1,NOAA,Grab,-88,,4178
B18-10396,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Total Ammonia,None,1,mg/L,1,NOAA,Grab,-88,,4179
B18-10396,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Unionized Ammonia,None,0.029,mg/L,1,NOAA,Grab,-88,,4180
B18-10384,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Dissolved Oxygen,None,7.94,mg/L,1,NOAA,Grab,-88,,4181
B18-10384,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,pH,None,8.04,pH,1,NOAA,Grab,-88,,4182
B18-10384,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Salinity,None,30.22,PSU,1,NOAA,Grab,-88,,4183
B18-10384,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Temperature,None,15.49,C,1,NOAA,Grab,-88,,4184
B18-10384,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Total Ammonia,None,0.4,mg/L,1,NOAA,Grab,-88,,4185
B18-10384,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Unionized Ammonia,None,0.01,mg/L,1,NOAA,Grab,-88,,4186
B18-10390,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Dissolved Oxygen,None,7.71,mg/L,1,NOAA,Grab,-88,,4187
B18-10390,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,pH,None,8.06,pH,1,NOAA,Grab,-88,,4188
B18-10390,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Salinity,None,32.42,PSU,1,NOAA,Grab,-88,,4189
B18-10390,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Temperature,None,15.66,C,1,NOAA,Grab,-88,,4190
B18-10390,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Total Ammonia,None,0.2,mg/L,1,NOAA,Grab,-88,,4191
B18-10390,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Unionized Ammonia,None,0.005,mg/L,1,NOAA,Grab,-88,,4192
B18-10387,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Dissolved Oxygen,None,7.32,mg/L,1,NOAA,Grab,-88,,4193
B18-10387,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,pH,None,7.91,pH,1,NOAA,Grab,-88,,4194
B18-10387,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Salinity,None,32.25,PSU,1,NOAA,Grab,-88,,4195
B18-10387,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Temperature,None,15.67,C,1,NOAA,Grab,-88,,4196
B18-10387,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Total Ammonia,None,0.6,mg/L,1,NOAA,Grab,-88,,4197
B18-10387,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Unionized Ammonia,None,0.011,mg/L,1,NOAA,Grab,-88,,4198
B18-10394,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Dissolved Oxygen,None,7.79,mg/L,1,NOAA,Grab,-88,,4199
B18-10394,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,pH,None,8.01,pH,1,NOAA,Grab,-88,,4200
B18-10394,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Salinity,None,30.3,PSU,1,NOAA,Grab,-88,,4201
B18-10394,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Temperature,None,15.69,C,1,NOAA,Grab,-88,,4202
B18-10394,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Total Ammonia,None,1.3,mg/L,1,NOAA,Grab,-88,,4203
B18-10394,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Unionized Ammonia,None,0.031,mg/L,1,NOAA,Grab,-88,,4204
B18-10395,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Dissolved Oxygen,None,7.97,mg/L,1,NOAA,Grab,-88,,4205
B18-10395,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,pH,None,8.06,pH,1,NOAA,Grab,-88,,4206
B18-10395,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Salinity,None,30.2,PSU,1,NOAA,Grab,-88,,4207
B18-10395,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Temperature,None,15.32,C,1,NOAA,Grab,-88,,4208
B18-10395,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Total Ammonia,None,1.5,mg/L,1,NOAA,Grab,-88,,4209
B18-10395,NOAAB18SedTest,Overlaying Water,None,-88,Not Recorded,0,Unionized Ammonia,None,0.039,mg/L,1,NOAA,Grab,-88,,4210
0000,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,pH,None,7.73,pH,1,NOAA,Grab,-88,,4211
0000,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,Salinity,None,35,PSU,1,NOAA,Grab,-88,,4212
0000,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,Temperature,None,22.3,C,1,NOAA,Grab,-88,,4213
0000,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,Total Ammonia,None,1.9,mg/L,1,NOAA,Grab,-88,,4214
B18-10396,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,Temperature,None,22.3,C,1,NOAA,Grab,-88,,4215
B18-10389,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,Salinity,None,35,PSU,1,NOAA,Grab,-88,,4216
B18-10396,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,Total Ammonia,None,12,mg/L,1,NOAA,Grab,-88,,4217
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,3,Temperature,None,15.5,C,0,Space and Naval Warfare Systems Command,CNEG,-88,Yaquina Bay Control,4218
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,4,Temperature,None,14.9,C,0,Space and Naval Warfare Systems Command,CNEG,-88,Yaquina Bay Control,4219
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,1,Dissolved Oxygen,None,9.3,mg/L,0,Space and Naval Warfare Systems Command,CNEG,-88,"Yaquina Bay Control, @ or below 110% saturation",4220
B18-10389,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,Temperature,None,22.5,C,1,NOAA,Grab,-88,,4221
B18-10396,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,Unionized Ammonia,None,0.267,mg/L,1,NOAA,Grab,-88,,4222
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,5,Temperature,None,15.3,C,0,Space and Naval Warfare Systems Command,CNEG,-88,Yaquina Bay Control,4223
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,2,Dissolved Oxygen,None,9.4,mg/L,0,Space and Naval Warfare Systems Command,CNEG,-88,"Yaquina Bay Control, @ or below 110% saturation",4224
B18-10389,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,Total Ammonia,None,12,mg/L,1,NOAA,Grab,-88,,4225
B18-10384,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,pH,None,7.64,pH,1,NOAA,Grab,-88,,4226
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,6,Temperature,None,15.2,C,0,Space and Naval Warfare Systems Command,CNEG,-88,Yaquina Bay Control,4227
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,3,Dissolved Oxygen,None,9.5,mg/L,0,Space and Naval Warfare Systems Command,CNEG,-88,"Yaquina Bay Control, @ or below 110% saturation",4228
B18-10389,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,Unionized Ammonia,None,0.212,mg/L,1,NOAA,Grab,-88,,4229
B18-10384,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,Salinity,None,34,PSU,1,NOAA,Grab,-88,,4230
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,7,Temperature,None,14.7,C,0,Space and Naval Warfare Systems Command,CNEG,-88,Yaquina Bay Control,4231
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,4,Dissolved Oxygen,None,9.7,mg/L,0,Space and Naval Warfare Systems Command,CNEG,-88,"Yaquina Bay Control, @ or below 110% saturation",4232
B18-10396,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,-3,pH,None,7.71,pH,1,NOAA,Grab,-88,,4233
B18-10384,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,Temperature,None,22.6,C,1,NOAA,Grab,-88,,4234
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,8,Temperature,None,15.4,C,0,Space and Naval Warfare Systems Command,CNEG,-88,Yaquina Bay Control,4235
B18-10386,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,pH,None,7.54,pH,1,NOAA,Grab,-88,,4236
B18-10396,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,-3,Salinity,None,35,PSU,1,NOAA,Grab,-88,,4237
B18-10384,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,Total Ammonia,None,4.9,mg/L,1,NOAA,Grab,-88,,4238
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,9,Temperature,None,15.3,C,0,Space and Naval Warfare Systems Command,CNEG,-88,Yaquina Bay Control,4239
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,10,Temperature,None,15.2,C,0,Space and Naval Warfare Systems Command,CNEG,-88,Yaquina Bay Control,4240
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,0,Total Ammonia,None,0.37,mg/L,0,Space and Naval Warfare Systems Command,CNEG,-88,Yaquina Bay Control,4241
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,10,Total Ammonia,None,1.22,mg/L,0,Space and Naval Warfare Systems Command,CNEG,-88,Yaquina Bay Control,4242
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,0,Unionized Ammonia,None,0.007,mg/L,0,Space and Naval Warfare Systems Command,CNEG,-88,Yaquina Bay Control,4243
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,10,Unionized Ammonia,None,0.03,mg/L,0,Space and Naval Warfare Systems Command,CNEG,-88,Yaquina Bay Control,4244
B18-10447,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,0,Dissolved Oxygen,None,9.4,mg/L,0,Space and Naval Warfare Systems Command,Grab,-88,@ or below 110% saturation,4245
B18-10447,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,1,Dissolved Oxygen,None,9.5,mg/L,0,Space and Naval Warfare Systems Command,Grab,-88,@ or below 110% saturation,4246
B18-10447,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,2,Dissolved Oxygen,None,9.5,mg/L,0,Space and Naval Warfare Systems Command,Grab,-88,@ or below 110% saturation,4247
B18-10447,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,3,Dissolved Oxygen,None,9.6,mg/L,0,Space and Naval Warfare Systems Command,Grab,-88,@ or below 110% saturation,4248
B18-10447,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,4,Dissolved Oxygen,None,9.6,mg/L,0,Space and Naval Warfare Systems Command,Grab,-88,@ or below 110% saturation,4249
B18-10447,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,5,Dissolved Oxygen,None,9.4,mg/L,0,Space and Naval Warfare Systems Command,Grab,-88,@ or below 110% saturation,4250
B18-10447,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,6,Dissolved Oxygen,None,9.4,mg/L,0,Space and Naval Warfare Systems Command,Grab,-88,@ or below 110% saturation,4251
B18-10447,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,7,Dissolved Oxygen,None,9.7,mg/L,0,Space and Naval Warfare Systems Command,Grab,-88,@ or below 110% saturation,4252
B18-10447,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,8,Dissolved Oxygen,None,9.2,mg/L,0,Space and Naval Warfare Systems Command,Grab,-88,@ or below 110% saturation,4253
B18-10447,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,9,Dissolved Oxygen,None,9.1,mg/L,0,Space and Naval Warfare Systems Command,Grab,-88,@ or below 110% saturation,4254
B18-10447,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,10,Dissolved Oxygen,None,9.4,mg/L,0,Space and Naval Warfare Systems Command,Grab,-88,@ or below 110% saturation,4255
B18-10447,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,0,pH,None,8.02,pH,0,Space and Naval Warfare Systems Command,Grab,-88,,4256
B18-10447,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,1,pH,None,8.03,pH,0,Space and Naval Warfare Systems Command,Grab,-88,,4257
B18-10447,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,2,pH,None,8.05,pH,0,Space and Naval Warfare Systems Command,Grab,-88,,4258
B18-10447,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,3,pH,None,8.19,pH,0,Space and Naval Warfare Systems Command,Grab,-88,,4259
B18-10447,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,4,pH,None,8.16,pH,0,Space and Naval Warfare Systems Command,Grab,-88,,4260
B18-10447,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,5,pH,None,8.06,pH,0,Space and Naval Warfare Systems Command,Grab,-88,,4261
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,5,Dissolved Oxygen,None,9.6,mg/L,0,Space and Naval Warfare Systems Command,CNEG,-88,"Yaquina Bay Control, @ or below 110% saturation",4262
B18-10447,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,6,pH,None,8.13,pH,0,Space and Naval Warfare Systems Command,Grab,-88,,4263
B18-10447,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,7,pH,None,8.14,pH,0,Space and Naval Warfare Systems Command,Grab,-88,,4264
B18-10447,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,8,pH,None,8.06,pH,0,Space and Naval Warfare Systems Command,Grab,-88,,4265
B18-10447,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,9,pH,None,8.01,pH,0,Space and Naval Warfare Systems Command,Grab,-88,,4266
B18-10447,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,10,pH,None,8.14,pH,0,Space and Naval Warfare Systems Command,Grab,-88,,4267
B18-10447,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,0,Salinity,None,33.3,g/L,0,Space and Naval Warfare Systems Command,Grab,-88,,4268
B18-10447,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,1,Salinity,None,33.3,g/L,0,Space and Naval Warfare Systems Command,Grab,-88,,4269
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,6,Dissolved Oxygen,None,9.4,mg/L,0,Space and Naval Warfare Systems Command,CNEG,-88,"Yaquina Bay Control, @ or below 110% saturation",4270
B18-10386,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,Salinity,None,35,PSU,1,NOAA,Grab,-88,,4271
B18-10396,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,-3,Temperature,None,22,C,1,NOAA,Grab,-88,,4272
B18-10396,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,-3,Total Ammonia,None,9.3,mg/L,1,NOAA,Grab,-88,,4273
B18-10384,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,Unionized Ammonia,None,0.081,mg/L,1,NOAA,Grab,-88,,4274
B18-10386,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,Temperature,None,22.4,C,1,NOAA,Grab,-88,,4275
B18-10396,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,-3,Unionized Ammonia,None,0.173,mg/L,1,NOAA,Grab,-88,,4276
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,7,Dissolved Oxygen,None,9.7,mg/L,0,Space and Naval Warfare Systems Command,CNEG,-88,"Yaquina Bay Control, @ or below 110% saturation",4277
B18-10390,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,pH,None,7.76,pH,1,NOAA,Grab,-88,,4278
B18-10386,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,Total Ammonia,None,6.7,mg/L,1,NOAA,Grab,-88,,4279
B18-10384,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,-3,pH,None,7.52,pH,1,NOAA,Grab,-88,,4280
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,8,Dissolved Oxygen,None,9.2,mg/L,0,Space and Naval Warfare Systems Command,CNEG,-88,"Yaquina Bay Control, @ or below 110% saturation",4281
B18-10390,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,Salinity,None,35,PSU,1,NOAA,Grab,-88,,4282
B18-10386,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,Unionized Ammonia,None,0.087,mg/L,1,NOAA,Grab,-88,,4283
B18-10384,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,-3,Salinity,None,35,PSU,1,NOAA,Grab,-88,,4284
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,9,Dissolved Oxygen,None,9.1,mg/L,0,Space and Naval Warfare Systems Command,CNEG,-88,"Yaquina Bay Control, @ or below 110% saturation",4285
B18-10390,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,Temperature,None,22.6,C,1,NOAA,Grab,-88,,4286
B18-10391,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,pH,None,7.64,pH,1,NOAA,Grab,-88,,4287
B18-10384,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,-3,Temperature,None,22,C,1,NOAA,Grab,-88,,4288
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,10,Dissolved Oxygen,None,9.3,mg/L,0,Space and Naval Warfare Systems Command,CNEG,-88,"Yaquina Bay Control, @ or below 110% saturation",4289
B18-10390,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,Total Ammonia,None,0,mg/L,1,NOAA,Grab,-88,,4290
B18-10391,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,Salinity,None,34,PSU,1,NOAA,Grab,-88,,4291
B18-10384,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,-3,Total Ammonia,None,6.7,mg/L,1,NOAA,Grab,-88,,4292
B18-10238,eeBHT180731,Overlaying Water,None,-88,Not Recorded,4,pH,None,8.05,pH,0,City of San Diego,Grab,-88,,4293
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,0,pH,None,7.89,pH,0,Space and Naval Warfare Systems Command,CNEG,-88,Yaquina Bay Control,4294
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,1,pH,None,8.01,pH,0,Space and Naval Warfare Systems Command,CNEG,-88,Yaquina Bay Control,4295
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,2,pH,None,8.02,pH,0,Space and Naval Warfare Systems Command,CNEG,-88,Yaquina Bay Control,4296
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,3,pH,None,8.13,pH,0,Space and Naval Warfare Systems Command,CNEG,-88,Yaquina Bay Control,4297
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,4,pH,None,8.2,pH,0,Space and Naval Warfare Systems Command,CNEG,-88,Yaquina Bay Control,4298
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,5,pH,None,8.08,pH,0,Space and Naval Warfare Systems Command,CNEG,-88,Yaquina Bay Control,4299
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,6,pH,None,8.11,pH,0,Space and Naval Warfare Systems Command,CNEG,-88,Yaquina Bay Control,4300
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,7,pH,None,8.12,pH,0,Space and Naval Warfare Systems Command,CNEG,-88,Yaquina Bay Control,4301
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,8,pH,None,8.03,pH,0,Space and Naval Warfare Systems Command,CNEG,-88,Yaquina Bay Control,4302
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,9,pH,None,8.04,pH,0,Space and Naval Warfare Systems Command,CNEG,-88,Yaquina Bay Control,4303
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,10,pH,None,8.05,pH,0,Space and Naval Warfare Systems Command,CNEG,-88,Yaquina Bay Control,4304
0000,SSC-2018-EOH,Overlaying Water,None,-88,Not Recorded,0,Salinity,None,33.3,g/L,0,Space and Naval Warfare Systems Command,CNEG,-88,Yaquina Bay Control,4305
B18-10384,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,-3,Unionized Ammonia,None,0.081,mg/L,1,NOAA,Grab,-88,,4306
B18-10390,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,-3,pH,NM,-88,pH,1,NOAA,Grab,-88,,4307
B18-10390,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,-3,Salinity,NM,-88,PSU,1,NOAA,Grab,-88,,4308
B18-10390,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,-3,Temperature,NM,-88,C,1,NOAA,Grab,-88,,4309
B18-10390,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,-3,Total Ammonia,NM,-88,mg/L,1,NOAA,Grab,-88,,4310
B18-10390,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,-3,Unionized Ammonia,NM,-88,mg/L,1,NOAA,Grab,-88,,4311
B18-10387,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,-3,pH,None,7.67,pH,1,NOAA,Grab,-88,,4312
B18-10391,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,Temperature,None,22.4,C,1,NOAA,Grab,-88,,4313
B18-10387,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,-3,Salinity,None,35,PSU,1,NOAA,Grab,-88,,4314
B18-10391,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,Total Ammonia,None,7.1,mg/L,1,NOAA,Grab,-88,,4315
B18-10387,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,-3,Temperature,None,22,C,1,NOAA,Grab,-88,,4316
B18-10391,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,Unionized Ammonia,None,0.116,mg/L,1,NOAA,Grab,-88,,4317
B18-10387,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,-3,Total Ammonia,None,6.9,mg/L,1,NOAA,Grab,-88,,4318
B18-10383,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,pH,None,7.62,pH,1,NOAA,Grab,-88,,4319
B18-10387,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,-3,Unionized Ammonia,None,0.117,mg/L,1,NOAA,Grab,-88,,4320
B18-10383,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,Salinity,None,34,PSU,1,NOAA,Grab,-88,,4321
B18-10383,NOAAB18SedTest,Interstitial Water,None,-88,Not Recorded,0,Temperature,None,22.7,C,1,NOAA,Grab,-88,,4322
